epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,981.793,0.47288,0.47415,0.97155,0.84349,0.7079,0.77039,0.56826,1.31792,1.18959,2.16152,0.000346625,0.000346625,0.000346625
75,995.193,0.46553,0.46993,0.96621,0.76176,0.75417,0.78167,0.57952,1.30941,1.31524,2.19524,0.00033425,0.00033425,0.00033425
76,1008.3,0.4794,0.45889,0.97329,0.82379,0.79059,0.80221,0.57075,1.30142,1.21668,2.16845,0.000321875,0.000321875,0.000321875
77,1021.66,0.47682,0.48049,0.97082,0.81244,0.74753,0.80215,0.57179,1.3903,1.22408,2.28121,0.0003095,0.0003095,0.0003095
78,1035.07,0.48356,0.48883,0.99416,0.71186,0.86313,0.80903,0.56237,1.26241,1.12294,2.12811,0.000297125,0.000297125,0.000297125
79,1048.2,0.45946,0.47433,0.97279,0.77108,0.82818,0.79062,0.5434,1.3028,1.25111,2.20184,0.00028475,0.00028475,0.00028475
80,1061.24,0.45714,0.46342,0.97072,0.73826,0.80046,0.79739,0.56142,1.2504,1.16982,2.0892,0.000272375,0.000272375,0.000272375
81,1074.47,0.44754,0.45871,0.95968,0.6814,0.85133,0.79293,0.57146,1.29388,1.2801,2.18969,0.00026,0.00026,0.00026
82,1087.77,0.44261,0.44321,0.96471,0.73633,0.73843,0.78817,0.56023,1.30061,1.37564,2.16403,0.000247625,0.000247625,0.000247625
83,1100.92,0.45558,0.45353,0.97919,0.80591,0.75182,0.76958,0.52948,1.29601,1.26887,2.17685,0.00023525,0.00023525,0.00023525
84,1113.97,0.44381,0.43339,0.95585,0.824,0.74809,0.77532,0.53169,1.31545,1.25542,2.2136,0.000222875,0.000222875,0.000222875
85,1127.18,0.43182,0.44507,0.95572,0.85936,0.74368,0.77855,0.55047,1.31238,1.23333,2.21519,0.0002105,0.0002105,0.0002105
86,1140.24,0.44101,0.42634,0.95064,0.79874,0.65833,0.73291,0.54532,1.3603,1.34151,2.26705,0.000198125,0.000198125,0.000198125
87,1153.65,0.44266,0.43767,0.9569,0.79656,0.74253,0.76667,0.5399,1.34289,1.40865,2.25259,0.00018575,0.00018575,0.00018575
88,1168.2,0.43202,0.42835,0.95147,0.79887,0.75072,0.77704,0.53947,1.29739,1.22417,2.14105,0.000173375,0.000173375,0.000173375
89,1181.39,0.44138,0.43635,0.962,0.70986,0.79705,0.78936,0.53718,1.3432,1.25911,2.18207,0.000161,0.000161,0.000161
90,1194.87,0.41042,0.40955,0.94004,0.80383,0.75417,0.79659,0.54432,1.36825,1.29938,2.27246,0.000148625,0.000148625,0.000148625
91,1210.19,0.34546,0.39321,0.92352,0.79091,0.74811,0.76315,0.53371,1.34998,1.33571,2.21303,0.00013625,0.00013625,0.00013625
92,1221.98,0.33971,0.34418,0.91562,0.79993,0.7553,0.76838,0.53113,1.3594,1.34323,2.23711,0.000123875,0.000123875,0.000123875
93,1234.17,0.31652,0.32664,0.90045,0.7709,0.76634,0.784,0.54557,1.34875,1.3424,2.21371,0.0001115,0.0001115,0.0001115
94,1246.45,0.32118,0.31989,0.90618,0.76226,0.77733,0.78041,0.54988,1.31159,1.22293,2.1718,9.9125e-05,9.9125e-05,9.9125e-05
95,1258.77,0.3044,0.30781,0.89336,0.76747,0.79757,0.797,0.566,1.28483,1.2391,2.19115,8.675e-05,8.675e-05,8.675e-05
96,1271.41,0.3,0.29803,0.8876,0.82334,0.79971,0.79997,0.55802,1.33308,1.27603,2.2912,7.4375e-05,7.4375e-05,7.4375e-05
97,1283.49,0.30225,0.29709,0.90074,0.7783,0.75261,0.79052,0.55194,1.36104,1.26352,2.37371,6.2e-05,6.2e-05,6.2e-05
98,1295.73,0.28403,0.28307,0.88097,0.71188,0.825,0.78349,0.5569,1.37152,1.22081,2.38414,4.9625e-05,4.9625e-05,4.9625e-05
99,1308.07,0.28909,0.27772,0.8865,0.73799,0.79703,0.79552,0.55863,1.37348,1.25263,2.35579,3.725e-05,3.725e-05,3.725e-05
100,1320.22,0.28622,0.29158,0.86896,0.73942,0.8,0.78841,0.55908,1.36504,1.27369,2.33656,2.4875e-05,2.4875e-05,2.4875e-05
